innings_num,batting_team,over_number,ball_number,total_score,total_wickets,boundaries,dot_balls,wickets,extras,favored_team,win_percentage,current_run_rate,required_run_rate,striker_batsman,toss_winner,toss_decision,batsman1_name,batsman1_runs,batsman1_balls_faced,batsman1_fours,batsman1_sixes,batsman2_name,batsman2_runs,batsman2_balls_faced,batsman2_fours,batsman2_sixes,bowler1_name,bowler1_overs_bowled,bowler1_maidens_bowled,bowler1_runs_conceded,bowler1_wickets_taken,bowler2_name,bowler2_overs_bowled,bowler2_maidens_bowled,bowler2_runs_conceded,bowler2_wickets_taken,venue,matches_played,average_runs_per_wicket,average_runs_per_over,batsman1_historical_average,batsman1_historical_strike_rate,batsman2_historical_average,batsman2_historical_strike_rate,bowler1_historical_average,bowler1_historical_economy,bowler1_historical_strike_rate,bowler2_historical_average,bowler2_historical_economy,bowler2_historical_strike_rate,runs_scored_over_rolling_avg,powerplay,middle_overs,death_overs,projected_score,pressure_index,model_win_probability
1,SRH,8,3,82,3,0,1,0,0,SRH,57.61,9.64,0,Heinrich Klaasen,,field first,Heinrich Klaasen,4,4,0,0,Nitish Kumar Reddy,21,13,2,0,Digvesh Rathi,2.3,0,20,0,Prince Yadav,1.0,0,9,1,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",139,26.00,8.20,40.72,171.38,33.3,146.69,15.5,7.75,12.0,0.0,11.75,0.0,13.0,2.0,0,1,0,193,0,0.7
1,SRH,8,4,88,3,1,0,0,0,SRH,56.27,10.15,0,Heinrich Klaasen,,field first,Heinrich Klaasen,10,5,0,1,Nitish Kumar Reddy,21,13,2,0,Digvesh Rathi,2.4,0,26,0,Prince Yadav,1.0,0,9,1,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",139,26.00,8.20,40.72,171.38,33.3,146.69,15.5,7.75,12.0,0.0,11.75,0.0,13.0,2.0,0,1,0,203,0,0.73
1,SRH,8,5,88,3,0,1,0,0,SRH,59.17,9.96,0,Heinrich Klaasen,,field first,Heinrich Klaasen,10,6,0,1,Nitish Kumar Reddy,21,13,2,0,Digvesh Rathi,2.5,0,26,0,Prince Yadav,1.0,0,9,1,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",139,26.00,8.20,40.72,171.38,33.3,146.69,15.5,7.75,12.0,0.0,11.75,0.0,13.0,2.0,0,1,0,199,0,0.71
1,SRH,8,6,89,3,0,0,0,0,SRH,59.17,9.88,0,Heinrich Klaasen,,field first,Heinrich Klaasen,11,7,0,1,Nitish Kumar Reddy,21,13,2,0,Digvesh Rathi,2.6,0,27,0,Prince Yadav,1.0,0,9,1,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",139,26.00,8.20,40.72,171.38,33.3,146.69,15.5,7.75,12.0,0.0,11.75,0.0,13.0,2.0,0,1,0,198,0,0.71
1,SRH,9,1,90,3,0,0,0,0,SRH,58.86,9.81,0,Heinrich Klaasen,,field first,Heinrich Klaasen,12,8,0,1,Nitish Kumar Reddy,21,13,2,0,Prince Yadav,1.1,0,10,1,Digvesh Rathi,3.0,0,27,0,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",139,26.00,8.20,40.72,171.38,33.3,146.69,0.0,11.75,0.0,15.5,7.75,12.0,13.0,2.0,0,1,0,196,0,0.68
1,SRH,9,2,91,3,0,0,0,0,SRH,57.93,9.75,0,Nitish Kumar Reddy,,field first,Nitish Kumar Reddy,22,14,2,0,Heinrich Klaasen,12,8,0,1,Prince Yadav,1.2,0,11,1,Digvesh Rathi,3.0,0,27,0,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",139,26.00,8.20,33.3,146.69,40.72,171.38,0.0,11.75,0.0,15.5,7.75,12.0,13.0,2.0,0,1,0,195,0,0.78
1,SRH,9,3,91,3,0,1,0,0,SRH,57.97,9.57,0,Heinrich Klaasen,,field first,Heinrich Klaasen,12,9,0,1,Nitish Kumar Reddy,22,14,2,0,Prince Yadav,1.3,0,11,1,Digvesh Rathi,3.0,0,27,0,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",139,26.00,8.20,40.72,171.38,33.3,146.69,0.0,11.75,0.0,15.5,7.75,12.0,13.0,2.0,0,1,0,191,0,0.68
1,SRH,9,4,92,3,0,0,0,0,SRH,56.63,9.51,0,Heinrich Klaasen,,field first,Heinrich Klaasen,13,10,0,1,Nitish Kumar Reddy,22,14,2,0,Prince Yadav,1.4,0,12,1,Digvesh Rathi,3.0,0,27,0,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",139,26.00,8.20,40.72,171.38,33.3,146.69,0.0,11.75,0.0,15.5,7.75,12.0,13.0,2.0,0,1,0,190,0,0.66
1,SRH,9,5,92,3,0,1,0,0,SRH,56.32,9.35,0,Nitish Kumar Reddy,,field first,Nitish Kumar Reddy,22,15,2,0,Heinrich Klaasen,13,10,0,1,Prince Yadav,1.5,0,12,1,Digvesh Rathi,3.0,0,27,0,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",139,26.00,8.20,33.3,146.69,40.72,171.38,0.0,11.75,0.0,15.5,7.75,12.0,13.0,2.0,0,1,0,187,0,0.79
1,SRH,9,6,96,3,0,0,0,0,SRH,55.82,9.6,0,Heinrich Klaasen,,field first,Heinrich Klaasen,14,11,0,1,Nitish Kumar Reddy,23,15,2,0,Prince Yadav,1.6,0,16,1,Digvesh Rathi,3.0,0,27,0,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",139,26.00,8.20,40.72,171.38,33.3,146.69,0.0,11.75,0.0,15.5,7.75,12.0,13.0,2.0,0,1,0,192,0,0.7
1,SRH,10,1,97,3,0,0,0,0,SRH,55.86,9.54,0,Heinrich Klaasen,,field first,Heinrich Klaasen,15,12,0,1,Nitish Kumar Reddy,23,15,2,0,Ravi Bishnoi,1.1,0,9,0,Prince Yadav,2.0,0,16,1,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",139,26.00,8.20,40.72,171.38,33.3,146.69,29.06,7.89,22.0,0.0,11.75,0.0,13.0,2.0,0,1,0,191,0,0.73
1,SRH,10,2,97,3,0,1,0,0,SRH,55.54,9.38,0,Nitish Kumar Reddy,,field first,Nitish Kumar Reddy,23,16,2,0,Heinrich Klaasen,15,12,0,1,Ravi Bishnoi,1.2,0,9,0,Prince Yadav,2.0,0,16,1,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",139,26.00,8.20,33.3,146.69,40.72,171.38,29.06,7.89,22.0,0.0,11.75,0.0,13.0,2.0,0,1,0,188,0,0.81
