innings_num,batting_team,over_number,ball_number,runs_scored,boundaries,dot_balls,wickets,extras,favored_team,win_percentage,current_run_rate,required_run_rate,striker_batsman,toss_winner,toss_decision,batsman1_name,batsman1_runs,batsman1_balls_faced,batsman1_fours,batsman1_sixes,batsman2_name,batsman2_runs,batsman2_balls_faced,batsman2_fours,batsman2_sixes,bowler1_name,bowler1_overs_bowled,bowler1_maidens_bowled,bowler1_runs_conceded,bowler1_wickets_taken,bowler2_name,bowler2_overs_bowled,bowler2_maidens_bowled,bowler2_runs_conceded,bowler2_wickets_taken,venue,matches_played,average_runs_per_wicket,average_runs_per_over,batsman1_historical_average,batsman1_historical_strike_rate,batsman2_historical_average,batsman2_historical_strike_rate,bowler1_historical_average,bowler1_historical_economy,bowler1_historical_strike_rate,bowler2_historical_average,bowler2_historical_economy,bowler2_historical_strike_rate,runs_scored_over_rolling_avg,wickets_over_rolling_avg,powerplay,middle_overs,death_overs,projected_score,pressure_index,model_win_probability
1,RR,8,6,1,0,0,0,0,KKR,64.32,7.88,0,Rana,KKR,field first,Nitish Rana,2,3,0,0,Wanindu Hasaranga,1,1,0,0,Moeen Ali,1.6,0,9,1,Varun Chakravarthy,1.0,0,8,1,"Barsapara Cricket Stadium, Guwahati",19,27.26,7.87,28.46,135.05,18.0,112.5,23.4,7.03,19.9,23.4,7.03,19.9,9.33,1.0,0,1,0,158,0,0.64
1,RR,9,1,1,0,0,0,0,KKR,64.27,7.85,0,Unknown,KKR,field first,Nitish Rana,3,4,0,0,Wanindu Hasaranga,1,1,0,0,Varun Chakravarthy,1.1,0,9,1,Moeen Ali,2.0,0,9,1,"Barsapara Cricket Stadium, Guwahati",19,27.26,7.87,28.46,135.05,18.0,112.5,24.34,7.61,19.1,24.34,7.61,19.1,9.33,1.0,0,1,0,157,0,0.66
1,RR,9,2,2,0,0,0,0,KKR,65.0,7.92,0,Hasaranga,KKR,field first,Wanindu Hasaranga,3,2,0,0,Nitish Rana,3,4,0,0,Varun Chakravarthy,1.2,0,11,1,Moeen Ali,2.0,0,9,1,"Barsapara Cricket Stadium, Guwahati",19,27.06,7.86,18.0,112.5,28.46,135.05,24.34,7.61,19.1,24.34,7.61,19.1,5.67,1.0,0,1,0,158,0,0.61
1,RR,9,3,1,0,0,0,0,KKR,65.0,7.89,0,Unknown,KKR,field first,Wanindu Hasaranga,4,3,0,0,Nitish Rana,3,4,0,0,Varun Chakravarthy,1.3,0,12,1,Moeen Ali,2.0,0,9,1,"Barsapara Cricket Stadium, Guwahati",19,27.06,7.86,18.0,112.5,28.46,135.05,24.34,7.61,19.1,24.34,7.61,19.1,5.67,1.0,0,1,0,158,0,0.65
1,RR,9,4,0,0,1,0,0,KKR,64.96,7.75,0,Rana,KKR,field first,Nitish Rana,3,5,0,0,Wanindu Hasaranga,4,3,0,0,Varun Chakravarthy,1.4,0,12,1,Moeen Ali,2.0,0,9,1,"Barsapara Cricket Stadium, Guwahati",19,27.06,7.86,28.46,135.05,18.0,112.5,24.34,7.61,19.1,24.34,7.61,19.1,5.67,1.0,0,1,0,155,0,0.67
1,RR,9,5,0,0,0,1,0,KKR,65.81,7.72,0,Hasaranga,KKR,field first,Nitish Rana,4,5,0,0,Unknown,0,0,0,0,Varun Chakravarthy,1.5,0,13,2,Moeen Ali,2.0,0,9,1,"Barsapara Cricket Stadium, Guwahati",19,27.06,7.86,28.46,135.05,0,0,24.34,7.61,19.1,24.34,7.61,19.1,5.67,1.0,0,1,0,154,0,0.73
1,RR,9,6,0,0,1,0,0,KKR,62.37,7.6,0,Unknown,KKR,field first,Dhruv Jurel,0,1,0,0,Nitish Rana,4,5,0,0,Varun Chakravarthy,1.6,0,13,2,Moeen Ali,2.0,0,9,1,"Barsapara Cricket Stadium, Guwahati",19,26.94,7.86,26.06,157.95,28.46,135.05,24.34,7.61,19.1,24.34,7.61,19.1,5.67,1.0,0,1,0,152,0,0.69
1,RR,10,1,1,0,0,0,0,KKR,62.37,7.57,0,Unknown,KKR,field first,Nitish Rana,5,6,0,0,Dhruv Jurel,0,1,0,0,Moeen Ali,2.1,0,10,1,Varun Chakravarthy,2.0,0,13,2,"Barsapara Cricket Stadium, Guwahati",19,26.94,7.86,28.46,135.05,26.06,157.95,23.4,7.03,19.9,23.4,7.03,19.9,5.67,1.0,0,1,0,151,0,0.72
1,RR,10,2,1,0,0,0,0,KKR,63.26,7.54,0,Unknown,KKR,field first,Dhruv Jurel,1,2,0,0,Nitish Rana,5,6,0,0,Moeen Ali,2.2,0,11,1,Varun Chakravarthy,2.0,0,13,2,"Barsapara Cricket Stadium, Guwahati",19,26.94,7.86,26.06,157.95,28.46,135.05,23.4,7.03,19.9,23.4,7.03,19.9,5.67,1.0,0,1,0,151,0,0.71
1,RR,10,3,1,0,0,0,0,KKR,62.65,7.52,0,Unknown,KKR,field first,Nitish Rana,6,7,0,0,Dhruv Jurel,1,2,0,0,Moeen Ali,2.3,0,12,1,Varun Chakravarthy,2.0,0,13,2,"Barsapara Cricket Stadium, Guwahati",19,26.94,7.86,28.46,135.05,26.06,157.95,23.4,7.03,19.9,23.4,7.03,19.9,5.67,1.0,0,1,0,150,0,0.74
